18edc65ce4defa5aa7f9fae779d22655fd766771,taskName,taskNumber,taskURL,name,response,serial,declined,submitLatency,log_serial,trial_id,responseHandle,latency,stimuli,media,data,block3Cond,feedback,d
18edc65ce4defa5aa7f9fae779d22655fd766771,namelessTask,1,,,,,,,,,,,,,,,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-quest,2,quest.js,,,,,,,,,,,,,,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-quest,,,item8,NaN,0,,191,,,,,,,,,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-quest,,,item1,NaN,1,,175.19999999925494,,,,,,,,,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-quest,,,item7,NaN,4,,190.69999999925494,,,,,,,,,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-quest,,,item2,NaN,5,,191.59999999776483,,,,,,,,,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-quest,,,item9,NaN,7,,191.90000000223517,,,,,,,,,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-quest,,,item10,NaN,9,,457.30000000074506,,,,,,,,,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,3,time.js,,,,,,,,,,,,,,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,instructions,,,,,0,0,space,5441,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,1,1,right,1112,"[""Poor people""]","[""poverty2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,2,2,right,2122,"[""Poor people""]","[""poverty5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,3,3,left,857,"[""Middle people""]","[""rich3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,4,4,left,752,"[""Middle people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,5,5,left,667,"[""Middle people""]","[""rich4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,6,6,left,764,"[""Middle people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,7,7,right,669,"[""Poor people""]","[""poverty3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,8,8,right,958,"[""Poor people""]","[""poverty1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,9,9,left,725,"[""Middle people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,10,10,left,906,"[""Middle people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,11,11,right,740,"[""Poor people""]","[""poverty4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,12,12,right,599,"[""Poor people""]","[""poverty6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,13,13,left,585,"[""Middle people""]","[""rich3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,14,14,right,973,"[""Poor people""]","[""poverty5.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,15,15,left,879,"[""Middle people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,16,16,right,869,"[""Poor people""]","[""poverty1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,17,17,left,761,"[""Middle people""]","[""rich4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,18,18,right,762,"[""Poor people""]","[""poverty4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,19,19,left,783,"[""Middle people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,20,20,right,744,"[""Poor people""]","[""poverty3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people,Poor people"",""block"":1}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,instructions,,,,,21,21,space,1998,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,22,22,left,990,"[""Bad words""]","[""最悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,23,23,left,501,"[""Bad words""]","[""悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,24,24,right,1718,"[""Good words""]","[""栄光""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,25,25,right,1088,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,26,26,left,1019,"[""Bad words""]","[""汚い""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,27,27,right,1106,"[""Good words""]","[""素晴らしい""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,28,28,right,1060,"[""Good words""]","[""笑顔""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,29,29,left,858,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,30,30,right,1335,"[""Good words""]","[""すばらしい""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,31,31,left,647,"[""Bad words""]","[""傷""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,32,32,right,1006,"[""Good words""]","[""愛""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,33,33,left,760,"[""Bad words""]","[""失敗""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,34,34,right,687,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,35,35,right,958,"[""Good words""]","[""平和""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,36,36,left,675,"[""Bad words""]","[""苦しみ""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,37,37,left,602,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,38,38,left,699,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,39,39,left,940,"[""Bad words""]","[""悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,40,40,right,639,"[""Good words""]","[""栄光""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,41,41,right,1234,"[""Good words""]","[""愛""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,instructions,,,,,42,42,space,1134,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,43,43,left,4825,"[""Middle people""]","[""rich2.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,44,44,right,1827,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,45,45,right,2437,"[""Poor people""]","[""poverty6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,46,46,left,2480,"[""Bad words""]","[""苦しみ""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,47,47,right,6170,"[""Poor people""]","[""poverty2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,48,48,left,721,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,49,49,left,1441,"[""Middle people""]","[""rich1.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,50,50,right,4018,"[""Good words""]","[""すばらしい""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,51,51,left,843,"[""Middle people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,52,52,left,1208,"[""Bad words""]","[""傷""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,53,53,right,833,"[""Poor people""]","[""poverty4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,54,54,right,1863,"[""Good words""]","[""素晴らしい""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,55,55,right,1124,"[""Poor people""]","[""poverty5.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,56,56,left,4734,"[""Bad words""]","[""失敗""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,57,57,left,3241,"[""Middle people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,58,58,right,1149,"[""Good words""]","[""笑顔""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,59,59,left,2395,"[""Middle people""]","[""rich4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,60,60,right,3291,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,61,61,right,2236,"[""Poor people""]","[""poverty2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,62,62,left,714,"[""Bad words""]","[""最悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":3}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,instructions,,,,,63,63,space,1197,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,64,64,right,4473,"[""Poor people""]","[""poverty3.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,65,65,left,831,"[""Bad words""]","[""汚い""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,66,66,left,1389,"[""Middle people""]","[""rich3.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,67,67,right,5232,"[""Good words""]","[""平和""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,68,68,left,1534,"[""Middle people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,69,69,right,2647,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,70,70,right,1575,"[""Poor people""]","[""poverty1.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,71,71,left,768,"[""Bad words""]","[""汚い""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,72,72,left,1982,"[""Middle people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,73,73,left,1355,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,74,74,right,1295,"[""Poor people""]","[""poverty6.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,75,75,right,1446,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,76,76,right,1446,"[""Poor people""]","[""poverty3.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,77,77,right,2639,"[""Good words""]","[""素晴らしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,78,78,left,1091,"[""Middle people""]","[""rich4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,79,79,left,968,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,80,80,left,2155,"[""Middle people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,81,81,left,681,"[""Bad words""]","[""悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,82,82,right,13,"[""Poor people""]","[""poverty6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,83,83,right,5485,"[""Good words""]","[""すばらしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,84,84,left,884,"[""Middle people""]","[""rich3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,85,85,left,1481,"[""Bad words""]","[""失敗""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,86,86,right,1302,"[""Poor people""]","[""poverty2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,87,87,right,3218,"[""Good words""]","[""平和""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,88,88,left,3122,"[""Middle people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,89,89,right,2440,"[""Good words""]","[""栄光""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,90,90,right,1539,"[""Poor people""]","[""poverty4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,91,91,left,885,"[""Bad words""]","[""最悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,92,92,left,6298,"[""Middle people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,93,93,right,3313,"[""Good words""]","[""愛""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,94,94,right,1482,"[""Poor people""]","[""poverty1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,95,95,left,829,"[""Bad words""]","[""傷""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,96,96,left,1471,"[""Middle people""]","[""rich5.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,97,97,right,4961,"[""Good words""]","[""笑顔""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
