55af2716116af63cd97f6ef3aa70523eef0c8e03,taskName,taskNumber,taskURL,name,response,serial,latency,pristineLatency,declined,submitLatency,log_serial,trial_id,responseHandle,stimuli,media,data,block3Cond,feedback,d
55af2716116af63cd97f6ef3aa70523eef0c8e03,namelessTask,1,,,,,,,,,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,2,quest.js,,,,,,,,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,,,item6,非常にそう思う,0,227488.30000000005,227488.30000000005,,228259.1000000001,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,,,item4,非常にそう思う,1,640.6000000000931,877.9000000001397,,1239.5,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,,,item10,非常にそう思う,2,615.3000000000466,615.3000000000466,,1215.6999999999534,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,,,item3,null,3,662.6999999999534,626.3999999999069,,1197.8000000000466,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,,,item8,null,6,659.8999999999069,661.4000000001397,,1218.5,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,,,item5,非常にそう思う,9,710.5,710.5,,1231.6999999999534,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,3,time.js,,,,,,,,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,instructions,,,1277,,,,0,0,space,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,580,,,,1,1,left,"[""Poor people""]","[""poverty5.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,40,,,,2,2,left,"[""Poor people""]","[""poverty3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,15,,,,3,3,right,"[""Rich people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,15,,,,4,4,right,"[""Rich people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,14,,,,5,5,right,"[""Rich people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,832324,,,,6,6,right,"[""Rich people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,30,,,,7,7,left,"[""Poor people""]","[""poverty6.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,30,,,,8,8,left,"[""Poor people""]","[""poverty1.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,42,,,,9,9,left,"[""Poor people""]","[""poverty4.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,126,,,,10,10,right,"[""Rich people""]","[""rich4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,64,,,,11,11,right,"[""Rich people""]","[""rich3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,15,,,,12,12,left,"[""Poor people""]","[""poverty2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,63,,,,13,13,right,"[""Rich people""]","[""rich4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,133,,,,14,14,left,"[""Poor people""]","[""poverty1.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,126,,,,15,15,left,"[""Poor people""]","[""poverty5.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,96,,,,16,16,right,"[""Rich people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,836219,,,,17,17,left,"[""Poor people""]","[""poverty6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,127,,,,18,18,right,"[""Rich people""]","[""rich6.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,50,,,,19,19,right,"[""Rich people""]","[""rich3.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,91,,,,20,20,left,"[""Poor people""]","[""poverty3.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,instructions,,,703,,,,21,21,space,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,190,,,,22,22,right,"[""Good words""]","[""すばらしい""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,66,,,,23,23,right,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,139,,,,24,24,left,"[""Bad words""]","[""汚い""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,116,,,,25,25,left,"[""Bad words""]","[""ひどい""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,119,,,,26,26,left,"[""Bad words""]","[""ひどい""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,52,,,,27,27,right,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,185,,,,28,28,left,"[""Bad words""]","[""悪""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,129,,,,29,29,right,"[""Good words""]","[""平和""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,68,,,,30,30,left,"[""Bad words""]","[""最悪""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,41,,,,31,31,right,"[""Good words""]","[""笑顔""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,66,,,,32,32,right,"[""Good words""]","[""栄光""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,151,,,,33,33,left,"[""Bad words""]","[""苦しみ""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,160,,,,34,34,right,"[""Good words""]","[""愛""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,74,,,,35,35,right,"[""Good words""]","[""素晴らしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,135,,,,36,36,left,"[""Bad words""]","[""傷""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,126,,,,37,37,left,"[""Bad words""]","[""失敗""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,138,,,,38,38,right,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,56,,,,39,39,right,"[""Good words""]","[""平和""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,115,,,,40,40,left,"[""Bad words""]","[""ひどい""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,107,,,,41,41,left,"[""Bad words""]","[""悪""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,instructions,,,511,,,,42,42,space,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,101,,,,43,43,right,"[""Rich people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,107,,,,44,44,right,"[""Good words""]","[""笑顔""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,848775,,,,45,45,left,"[""Poor people""]","[""poverty4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,195,,,,46,46,left,"[""Bad words""]","[""最悪""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,87,,,,47,47,right,"[""Rich people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,63,,,,48,48,left,"[""Bad words""]","[""汚い""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,126,,,,49,49,left,"[""Poor people""]","[""poverty2.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,79,,,,50,50,right,"[""Good words""]","[""愛""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,64,,,,51,51,left,"[""Poor people""]","[""poverty5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,119,,,,52,52,right,"[""Good words""]","[""素晴らしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,130,,,,53,53,right,"[""Rich people""]","[""rich2.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,55,,,,54,54,left,"[""Bad words""]","[""傷""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,83,,,,55,55,right,"[""Rich people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,140,,,,56,56,right,"[""Good words""]","[""栄光""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,853395,,,,57,57,left,"[""Poor people""]","[""poverty4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,164,,,,58,58,left,"[""Bad words""]","[""苦しみ""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,195,,,,59,59,left,"[""Poor people""]","[""poverty6.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,85,,,,60,60,right,"[""Good words""]","[""すばらしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,97,,,,61,61,right,"[""Rich people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,47,,,,62,62,left,"[""Bad words""]","[""失敗""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":3}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,instructions,,,684,,,,63,63,space,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,856930,,,,64,64,left,"[""Poor people""]","[""poverty1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,10,,,,65,65,right,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,52,,,,66,66,right,"[""Rich people""]","[""rich3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,172,,,,67,67,left,"[""Bad words""]","[""ひどい""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,12,,,,68,68,right,"[""Rich people""]","[""rich4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,145,,,,69,69,left,"[""Bad words""]","[""ひどい""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,197,,,,70,70,left,"[""Poor people""]","[""poverty2.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,174,,,,71,71,right,"[""Good words""]","[""愛""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,168,,,,72,72,left,"[""Poor people""]","[""poverty3.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,53,,,,73,73,right,"[""Good words""]","[""栄光""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,158,,,,74,74,right,"[""Rich people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,11,,,,75,75,left,"[""Bad words""]","[""傷""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,200,,,,76,76,left,"[""Poor people""]","[""poverty2.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,139,,,,77,77,left,"[""Bad words""]","[""汚い""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,44,,,,78,78,right,"[""Rich people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,64,,,,79,79,right,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,94,,,,80,80,right,"[""Rich people""]","[""rich3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,66,,,,81,81,left,"[""Bad words""]","[""悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,217,,,,82,82,left,"[""Poor people""]","[""poverty1.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,91,,,,83,83,right,"[""Good words""]","[""すばらしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,85,,,,84,84,right,"[""Rich people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,213,,,,85,85,left,"[""Bad words""]","[""最悪""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,177,,,,86,86,left,"[""Poor people""]","[""poverty6.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,33,,,,87,87,right,"[""Good words""]","[""平和""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,91,,,,88,88,right,"[""Rich people""]","[""rich4.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,163,,,,89,89,left,"[""Bad words""]","[""失敗""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,194,,,,90,90,left,"[""Poor people""]","[""poverty5.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,114,,,,91,91,right,"[""Good words""]","[""素晴らしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,201,,,,92,92,left,"[""Poor people""]","[""poverty3.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att2right,,,172,,,,93,93,right,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,138,,,,94,94,right,"[""Rich people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,att1left,,,163,,,,95,95,left,"[""Bad words""]","[""苦しみ""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,109,,,,96,96,right,"[""Rich people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people/Bad words,Rich people/Good words"",""block"":4}",,,
