f5620506b6a863e13830caa3e2df54836c7d5ad8,taskName,taskNumber,taskURL,name,response,serial,latency,pristineLatency,declined,submitLatency,log_serial,trial_id,responseHandle,stimuli,media,data,block3Cond,feedback,d
f5620506b6a863e13830caa3e2df54836c7d5ad8,namelessTask,1,,,,,,,,,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,2,quest.js,,,,,,,,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item7,そう思わない,0,10906.199999988079,5609.5999999940395,,11654.90000000596,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item10,そう思う,2,2856.5,2856.5,,3686.199999988079,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item5,そう思わない,3,3564.0999999940395,3564.0999999940395,,4578.4000000059605,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item6,そう思う,4,4590.800000011921,4590.800000011921,,4524.199999988079,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item3,そう思う,5,2973.9000000059605,2973.9000000059605,,3737.800000011921,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item9,そう思う,7,5394.299999982119,5394.299999982119,,4972.4000000059605,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item1,そう思う,9,2423.199999988079,2423.199999988079,,3371.300000011921,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,3,time.js,,,,,,,,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,instructions,,,8750,,,,0,0,space,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,2781,,,,1,1,right,"[""Poor people""]","[""poverty4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,801,,,,2,2,right,"[""Poor people""]","[""poverty5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,782,,,,3,3,left,"[""Rich people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,643,,,,4,4,left,"[""Rich people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,1471,,,,5,5,right,"[""Poor people""]","[""poverty6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,1231,,,,6,6,left,"[""Rich people""]","[""rich4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,1029,,,,7,7,right,"[""Poor people""]","[""poverty2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,902,,,,8,8,left,"[""Rich people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,3601,,,,9,9,left,"[""Rich people""]","[""rich3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,753,,,,10,10,right,"[""Poor people""]","[""poverty3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,759,,,,11,11,right,"[""Poor people""]","[""poverty1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,1266,,,,12,12,left,"[""Rich people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,1952,,,,13,13,right,"[""Poor people""]","[""poverty2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,1205,,,,14,14,left,"[""Rich people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,995,,,,15,15,right,"[""Poor people""]","[""poverty5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,727,,,,16,16,left,"[""Rich people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,788,,,,17,17,right,"[""Poor people""]","[""poverty1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,683,,,,18,18,left,"[""Rich people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,617,,,,19,19,left,"[""Rich people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,627,,,,20,20,right,"[""Poor people""]","[""poverty3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,instructions,,,1100,,,,21,21,space,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1492,,,,22,22,left,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,706,,,,23,23,right,"[""Good words""]","[""平和""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1359,,,,24,24,left,"[""Bad words""]","[""悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,1020,,,,25,25,right,"[""Good words""]","[""栄光""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1450,,,,26,26,left,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,1016,,,,27,27,right,"[""Good words""]","[""素晴らしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,673,,,,28,28,right,"[""Good words""]","[""すばらしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1620,,,,29,29,left,"[""Bad words""]","[""失敗""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,758,,,,30,30,right,"[""Good words""]","[""愛""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,876,,,,31,31,left,"[""Bad words""]","[""傷""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,2060,,,,32,32,right,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1234,,,,33,33,left,"[""Bad words""]","[""汚い""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,560,,,,34,34,left,"[""Bad words""]","[""苦しみ""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,958,,,,35,35,left,"[""Bad words""]","[""最悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,719,,,,36,36,right,"[""Good words""]","[""笑顔""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,1271,,,,37,37,right,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,833,,,,38,38,left,"[""Bad words""]","[""苦しみ""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,768,,,,39,39,right,"[""Good words""]","[""栄光""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,806,,,,40,40,left,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,1534,,,,41,41,right,"[""Good words""]","[""笑顔""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,instructions,,,963,,,,42,42,space,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,4259,,,,43,43,left,"[""Rich people""]","[""rich4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,1024,,,,44,44,right,"[""Good words""]","[""すばらしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,2939,,,,45,45,right,"[""Poor people""]","[""poverty4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,2661,,,,46,46,left,"[""Bad words""]","[""傷""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,2210,,,,47,47,right,"[""Poor people""]","[""poverty6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,113,,,,48,48,right,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,3355,,,,49,49,left,"[""Rich people""]","[""rich3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,5539,,,,50,50,left,"[""Bad words""]","[""汚い""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,3128,,,,51,51,right,"[""Poor people""]","[""poverty2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,2244,,,,52,52,left,"[""Bad words""]","[""失敗""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,3301,,,,53,53,left,"[""Rich people""]","[""rich4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,5842,,,,54,54,right,"[""Good words""]","[""愛""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,1614,,,,55,55,left,"[""Rich people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,2916,,,,56,56,left,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,2842,,,,57,57,right,"[""Poor people""]","[""poverty1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,5654,,,,58,58,right,"[""Good words""]","[""素晴らしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,4301,,,,59,59,left,"[""Rich people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,4764,,,,60,60,right,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,3210,,,,61,61,right,"[""Poor people""]","[""poverty6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1852,,,,62,62,left,"[""Bad words""]","[""最悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":3}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,instructions,,,1432,,,,63,63,space,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,3531,,,,64,64,right,"[""Poor people""]","[""poverty3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1901,,,,65,65,left,"[""Bad words""]","[""悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,2306,,,,66,66,left,"[""Rich people""]","[""rich3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,3534,,,,67,67,right,"[""Good words""]","[""平和""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,4125,,,,68,68,right,"[""Poor people""]","[""poverty4.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1917,,,,69,69,left,"[""Bad words""]","[""最悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,1378,,,,70,70,left,"[""Rich people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,6415,,,,71,71,right,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,1554,,,,72,72,right,"[""Poor people""]","[""poverty5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1211,,,,73,73,left,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,2202,,,,74,74,left,"[""Rich people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,3677,,,,75,75,right,"[""Good words""]","[""笑顔""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,1914,,,,76,76,left,"[""Rich people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,3232,,,,77,77,right,"[""Good words""]","[""素晴らしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,2632,,,,78,78,right,"[""Poor people""]","[""poverty3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1631,,,,79,79,left,"[""Bad words""]","[""傷""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,3958,,,,80,80,right,"[""Poor people""]","[""poverty6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,1840,,,,81,81,right,"[""Good words""]","[""すばらしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,1190,,,,82,82,left,"[""Rich people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1876,,,,83,83,left,"[""Bad words""]","[""悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,861,,,,84,84,left,"[""Rich people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1718,,,,85,85,left,"[""Bad words""]","[""苦しみ""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,4224,,,,86,86,right,"[""Poor people""]","[""poverty1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,1744,,,,87,87,right,"[""Good words""]","[""平和""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,4169,,,,88,88,left,"[""Rich people""]","[""rich6.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,1037,,,,89,89,right,"[""Good words""]","[""愛""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,3853,,,,90,90,right,"[""Poor people""]","[""poverty4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1459,,,,91,91,left,"[""Bad words""]","[""汚い""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,1987,,,,92,92,right,"[""Poor people""]","[""poverty5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,1128,,,,93,93,right,"[""Good words""]","[""楽しい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,2168,,,,94,94,left,"[""Rich people""]","[""rich4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1062,,,,95,95,left,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,2599,,,,96,96,left,"[""Rich people""]","[""rich3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people/Bad words,Poor people/Good words"",""block"":4}",,,
